Female_4m_F1a	Female_4m_F1b	Female_4m_F2a	Female_4m_F2b	Female_20m_F3a	Female_20m_F3b	Female_20m_F4a	Female_20m_F4b	Male_4m_M1a	Male_4m_M1b	Male_4m_M2a	Male_4m_M2b	Male_20m_M3a	Male_20m_M3b	Male_20m_M4a	Male_20m_M4b
Mrpl15	6.4358559553894	6.31662271980529	6.45105894176297	6.50097091126403	6.08919202375492	6.47505992396894	6.58562214569504	6.42464182654182	6.59677106921506	6.40475311318417	6.62327000573858	6.55261347213901	6.34656464115158	6.61355753189305	6.63035111627271	6.66168856135317
Lypla1	8.41336918106199	8.47808357223246	8.49889355259513	8.24115247519725	8.34187876085182	8.21506728814656	7.71876821493234	8.07816892004185	8.36247069556592	9.14168158592495	8.11475011234552	8.76051609255607	8.07941240254179	8.34040853881064	7.78018555502569	7.65010006694687
Tcea1	9.11037974828248	8.44017001521957	8.84278051706131	8.82354507762093	8.45339753819584	8.66139188742893	8.48667723222465	8.58430943035021	9.02371187678623	8.74378463014074	8.69683199233835	8.95875873775364	8.62691191841585	8.57173359285047	8.5468272678727	8.59446643441925
Atp6v1h	7.90987690360235	7.71776273663658	7.91858345780822	7.6054773256003	7.40226750899395	7.57434548552721	7.54448482519504	7.82843674933842	7.69756293629774	7.54809701903179	7.71885442273781	7.53384959908999	7.50951730107018	7.64402677488735	7.60208626715234	7.65010006694687
Rb1cc1	11.8574405203955	11.5395980751694	11.6204854206309	11.5859097537313	11.6053360655082	11.5325776557072	11.3073189465184	11.2158373006085	11.1106719626256	11.6560304107323	11.0733137872729	11.282076984955	11.2653314042172	11.3111263157867	11.0432305822807	10.9360773040256
St18	5.38106552475934	5.23012230680881	5.38321309634261	5.23012230680881	5.46550234501987	5.37920791631273	5.38382910703835	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.23012230680881	5.38249655292553	5.38743265934198	5.37770064435634	5.23012230680881
Pcmtd1	10.4730974030005	10.3201776991901	10.487537318865	10.2771624592704	10.2848036832594	10.3461673056164	10.0629839071629	10.1370626998981	9.97284264719897	10.4780427713389	9.86342587113597	10.2314894942716	10.1621080352019	9.96275861676098	9.76519022885115	9.6997654810381
Rrs1	5.82691859424485	5.79279872870655	5.80729581128257	5.74695447457031	5.76566597088746	5.84587233736881	5.88864756390522	5.98005446866353	6.15039504724341	5.74641171949194	6.01834978104921	5.92967197697098	5.88344254827559	6.01999965044025	6.07285245897807	6.125206060842
Adhfe1	8.43497975320719	9.51682653034247	9.58877394779342	8.9864013695072	8.13629780286017	8.8276267976244	7.64897097299174	8.09624711394393	8.90455398139501	9.34227192816231	7.91933202615984	9.16141621852312	8.37905235044435	5.69441036635516	8.14894361523966	7.13628359130516
Mybl1	5.559538555659	5.46378940172146	5.64649667567528	5.74695447457031	5.52487887182669	5.55572447852234	5.51626996273676	5.60759256681342	5.67982729742081	5.60563774247401	5.78991729216414	5.69577606065586	5.5139147347289	5.65722159339809	5.70038213950682	5.69978542369964
Vcpip1	10.144910329853	10.077246082375	10.0285495227727	9.92706472109475	10.0385702646714	9.95758859856725	9.75075514693995	9.83991978238181	9.91251102891516	10.0353707505314	9.82610246721931	9.86593440493273	9.74160214797827	9.72600627777108	9.6788604291842	9.62028452051122
1700034P13Rik	5.559538555659	5.99825122681865	5.95706411018843	5.56293729923336	6.00352708227727	5.79341302821537	5.88864756390522	5.60759256681342	5.8035633460159	5.90793975002778	5.95703681060371	5.73055150529521	6.03891452225959	5.79254572165604	5.95481804881908	5.86389035406744
Sgk3	10.7367622538415	10.748789471039	10.4757694393596	10.3317664629759	10.4770671300329	10.3483888748231	10.0391154280813	10.2534431991573	10.5688431244275	10.9875936979129	10.0866870042985	10.7720138228867	10.1941003669923	10.3126665966633	9.96034062760405	9.75540509554177
Mcmdc2	6.68077140736133	6.2155065155392	6.32107452218055	6.31794779964332	6.41730914760038	6.08057371095954	6.0850011334608	6.12076465050617	6.44343357789746	6.25417991808409	6.05681047914596	6.44155162239316	6.28564134642482	6.10301443381579	6.05430295104002	6.03435557493806
