mz	p.value	t.score	mode
259.0221	0.985977156	-0.027421216	negative
398.7175	0.779179765	-0.475690269	negative
78.9593	0.55190503	0.956200234	negative
298.7627	0.530697388	1.008931593	negative
110.9851	0.611560174	-0.828906134	negative
125.0178	0.426257962	-1.253788821	negative
188.9976	0.569930774	-0.91537248	negative
245.043	0.537459066	-0.991078523	negative
276.0657	0.550294743	-0.959243448	negative
308.0983	0.044820867	-3.230172122	negative
124.0075	0.236699181	-1.852519244	negative
184.9855	0.878524389	-0.257917344	negative
229.0118	0.163745634	-2.178712632	negative
304.0338	0.666877089	0.70564034	negative
354.0612	0.592439044	0.868916967	negative
362.0507	0.004360763	5.139673773	negative
442.0163	0.244630848	1.812049546	negative
138.9803	0.733762397	0.579045462	negative
166.9749	0.758174401	0.520528933	negative
243.0273	0.121370545	-2.442635153	negative
152.0025	0.405324717	1.316654314	negative
300.0395	0.79780889	-0.435339673	negative
315.0414	0.415455698	1.287769004	negative
338.9885	0.636244902	0.769915861	negative
135.03	0.738696626	-0.56473334	negative
182.0131	0.184799533	2.068347597	negative
207.0142	0.879060222	-0.25385624	negative
352.0817	0.883036033	0.244237656	negative
365.1133	0.118081608	-2.470801766	negative
111.0086	0.880782791	0.249007386	negative
115.0037	0.097192671	-2.629715982	negative
191.0199	0.009622764	-4.419955726	negative
248.8564	0.437825995	1.213877188	negative
71.0139	0.588587694	0.874287215	negative
130.051	0.883036033	0.243913121	negative
335.0477	0.658992216	0.720691456	negative
347.0399	0.452742192	1.176780818	negative
175.0726	0.097221534	-2.62853164	negative
291.0833	0.231379714	-1.86863626	negative
188.0565	0.659102135	-0.720106952	negative
372.998	0.887775617	-0.236763355	negative
351.0155	0.618319251	-0.813963332	negative
117.0194	0.01430176	-4.063414523	negative
363.0345	0.049937667	-3.150818128	negative
588.0753	0.040944802	-3.310324005	negative
673.2313	0.134298372	-2.352161984	negative
136.0074	0.686380591	-0.670749777	negative
444.0334	0.004360763	5.108848081	negative
161.0457	0.874005559	-0.269914658	negative
611.1464	0.178235465	-2.104367154	negative
346.0561	0.002424072	5.809785044	negative
565.0484	0.931738132	0.140839056	negative
316.0599	0.277007852	-1.691439169	negative
481.9781	0.002424072	5.822513325	negative
535.0366	0.479839269	-1.120239547	negative
235.0391	0.878524389	0.259450614	negative
169.1049	0.682097735	-0.678567788	negative
175.0247	0.620636768	0.806529321	negative
579.0275	0.653290269	-0.733544403	negative
353.0478	0.023557282	-3.685888799	negative
402.9949	0.197902846	1.994547097	negative
167.002	0.478808329	-1.12284599	negative
606.0746	0.835799965	-0.35004835	negative
111.0199	0.926954311	0.151981442	negative
147.0662	0.248035637	-1.80240006	negative
173.0091	0.008433189	-4.546149733	negative
336.06	0.759485526	-0.515412952	negative
374.9166	0.425867704	1.255877748	negative
604.0699	0.254250877	-1.782248109	negative
362.0509	0.006422195	4.817453685	negative
442.0165	0.629123658	0.788700684	negative
420.9795	0.798280085	0.430201971	negative
448.0039	0.925327085	-0.156468849	negative
201.1243	0.939055604	-0.128336884	negative
742.0698	0.021769555	-3.734669964	negative
180.0338	0.75671519	0.525061253	negative
347.0401	0.431854887	1.234802474	negative
391.0209	0.319542043	1.561183201	negative
662.1029	0.015798799	-3.987993027	negative
151.0261	0.648416911	0.746911385	negative
220.0287	0.2737093	-1.702871445	negative
267.0733	0.135659353	2.33597759	negative
426.0222	0.969708323	-0.058832171	negative
154.9751	0.895740712	-0.215212952	negative
505.9878	0.002424072	-5.835250598	negative
558.9004	0.006047641	-4.863562962	negative
230.093	0.281193922	1.681599897	negative
167.0893	0.081347693	2.789067591	negative
229.0897	0.039062754	3.34373849	negative
588.0749	0.144768162	-2.282206511	negative
115.0513	0.924583918	-0.161235449	negative
116.0352	0.749638742	-0.539360151	negative
120.0568	0.992690137	-0.012416092	negative
166.0447	0.780451361	0.472808961	negative
216.0335	0.352591809	-1.462432725	negative
130.0873	0.482187813	-1.115202802	negative
163.0764	0.905572718	0.197035168	negative
171.1027	0.845445597	-0.329380862	negative
181.0666	0.689498504	0.665560078	negative
183.1026	0.76398053	-0.506444687	negative
185.1183	0.539597849	-0.984497676	negative
207.0121	0.791019399	-0.450883003	negative
211.0975	0.61957141	-0.80967453	negative
297.1471	0.878524389	0.258401406	negative
415.1404	0.431854887	-1.23452374	negative
242.176	0.386214779	-1.374833264	negative
383.1552	0.18966093	-2.038158194	negative
137.0244	0.648784712	-0.744056587	negative
271.2276	0.779179765	-0.47477091	negative
346.056	0.002854952	5.61855611	negative
368.0383	0.004114969	5.268869674	negative
481.9777	0.009622764	4.416676432	negative
173.1182	0.256651955	1.773856129	negative
228.1605	0.9542046	0.097723361	negative
236.0234	0.979521116	0.039864694	negative
134.0473	0.15883898	-2.206385576	negative
607.265	0.55554442	0.947274141	negative
111.0199	0.067200291	2.928953432	negative
147.0451	0.088948562	2.707666819	negative
193.0716	0.195522025	2.005867063	negative
246.044	0.891590929	-0.225013628	negative
111.02	0.736975113	-0.569311365	negative
133.0506	0.247504303	1.804227983	negative
193.0667	0.985977156	0.026777816	negative
120.0697	0.16977087	2.149138422	negative
180.0335	0.880782791	-0.25007669	negative
164.0719	0.075300323	2.844592882	negative
214.1448	0.669873736	0.699303387	negative
246.0749	0.070818634	2.887614811	negative
271.0614	0.574304085	0.907709051	negative
251.1037	0.969708323	-0.05885343	negative
619.2318	0.658377824	0.722180499	negative
129.0194	0.734513865	-0.576231644	negative
135.0451	0.34221328	1.491621294	negative
278.1143	0.002020567	6.109246467	negative
179.0381	0.425281265	1.257759338	negative
211.0611	0.058816562	3.020449322	negative
248.0596	0.995880187	0.005908095	negative
378.1186	0.19719541	1.997172864	negative
153.0324	0.832655291	0.359005079	negative
439.0895	0.200028938	1.985622975	negative
439.1439	0.194387669	2.009711534	negative
662.1028	0.01430176	-4.065240327	negative
180.0335	0.416306209	1.284954013	negative
324.0366	0.733762397	-0.578130382	negative
127.0401	0.656932752	0.725468221	negative
79.9573	0.126643698	2.408766543	negative
214.1449	0.520732583	-1.03076636	negative
154.975	0.524208263	-1.021860219	negative
182.0728	0.486033535	1.10503432	negative
200.1292	0.416977722	1.281921581	negative
278.0701	0.934530067	-0.135416491	negative
124.9913	0.370676318	1.417452998	negative
619.232	0.554634234	0.949389107	negative
336.0723	0.506733574	1.062537482	negative
154.9749	0.648416911	-0.747563463	negative
246.1103	0.951149032	0.104992892	negative
397.1335	0.213379445	1.932699106	negative
319.1014	0.433723753	1.225867148	negative
264.0866	0.878524389	-0.258652495	negative
216.0999	0.625487739	0.795039261	negative
211.0974	0.621743971	-0.80459628	negative
218.0491	0.758174401	-0.520459578	negative
202.0179	0.569930774	0.914927674	negative
228.1603	0.530297634	1.010867576	negative
421.0786	0.615023849	-0.821307465	negative
