Lipid_ID	Lipid_ID_LION	FA_comp	Insaturations	Saturation_Class	Lipid_Family	Lipid_Type	F_Old_3a	F_Old_3b	F_Old_4a	F_Old_4b	F_Young_1a	F_Young_1b	F_Young_2a	F_Young_2b	M_Old_3a	M_Old_3b	M_Old_4a	M_Old_4b	M_Young_1a	M_Young_1b	M_Young_2a	M_Young_2b
CE(16:0)	CE(16:0)	FA16:0	0	Saturated_FA	CE	Cholesteryl_Ester	0.7877	0.7472	0.548	0.4738	0.8418	0.5796	0.9098	0.7508	0.5733	1.4758	1.1479	0.6887	0.782	0.7946	0.7408	0.5906
CE(16:1)	CE(16:1)	FA16:1	1	MUFA	CE	Cholesteryl_Ester	0.0829	0.0631	0.0722	0.0751	0.1305	0.0554	0.0974	0.102	0.0953	0.2407	0.151	0.0895	0.0877	0.0952	0.0894	0.0774
CE(18:0)	CE(18:0)	FA18:0	0	Saturated_FA	CE	Cholesteryl_Ester	0.3758	0.1651	0.1461	0.1193	0.1663	0.1154	0.1424	0.1177	0.1404	0.3951	0.2603	0.184	0.1402	0.2147	0.1622	0.1498
CE(18:1)	CE(18:1)	FA18:1	1	MUFA	CE	Cholesteryl_Ester	0.8784	0.498	0.2531	0.3469	0.7738	0.2358	0.3532	0.4163	0.4363	1.7381	0.9368	0.5249	0.4972	0.5605	0.3899	0.429
CE(18:2)	CE(18:2)	FA18:2	2	PUFA	CE	Cholesteryl_Ester	0.7547	0.4994	0.4499	0.3602	1.5755	0.4124	0.506	0.3956	0.4357	1.3675	1.4194	0.6444	0.6881	0.6912	0.579	0.6182
CE(18:3)	CE(18:3)	FA18:3	3	PUFA	CE	Cholesteryl_Ester	0.0753	0.0502	0.0484	0.0538	0.059	0.0518	0.0615	0.0629	0.0411	0.0976	0.0897	0.0585	0.0622	0.0733	0.068	0.0612
CE(20:1)	CE(20:1)	FA20:1	1	MUFA	CE	Cholesteryl_Ester	0.0796	0.0458	0.01223774	0.031	0.0411	0.014242312	0.009502441	0.0403	0.0396	0.1372	0.0846	0.0384	0.0377	0.056	0.018660178	0.018168423
CE(20:2)	CE(20:2)	FA20:2	2	PUFA	CE	Cholesteryl_Ester	0.1405	0.0528	0.0178	0.0431	0.0359	0.0192	0.0303	0.0282	0.0339	0.2205	0.1398	0.0703	0.0596	0.0826	0.0751	0.061
CE(20:3)	CE(20:3)	FA20:3	3	PUFA	CE	Cholesteryl_Ester	0.2066	0.0784	0.0296	0.056	0.071	0.033	0.0483	0.0599	0.0552	0.3424	0.1732	0.0773	0.0768	0.132	0.1097	0.066
CE(20:4)	CE(20:4)	FA20:4	4	PUFA	CE	Cholesteryl_Ester	0.5683	0.2837	0.1223	0.185	0.233	0.1007	0.1163	0.1363	0.1765	1.0448	0.4187	0.2748	0.2334	0.287	0.2683	0.165
CE(20:5)	CE(20:5)	FA20:5	5	PUFA	CE	Cholesteryl_Ester	0.1228	0.0694	0.0364	0.0565	0.0411	0.0302	0.0308	0.0416	0.0539	0.2385	0.1142	0.0543	0.0693	0.078	0.0531	0.0567
CE(22:4)	CE(22:4)	FA22:4	4	PUFA	CE	Cholesteryl_Ester	0.1673	0.0486	0.005887942	0.0351	0.0273	0.009925834	0.009783723	0.0251	0.0283	0.148	0.0745	0.0345	0.0306	0.0407	0.0433	0.0346
CE(22:5)	CE(22:5)	FA22:5	5	PUFA	CE	Cholesteryl_Ester	0.2029	0.0907	0.0395	0.0686	0.0803	0.0452	0.0593	0.0623	0.0671	0.2845	0.1592	0.0867	0.0886	0.1269	0.1052	0.0895
CE(22:6)	CE(22:6)	FA22:6	6	PUFA	CE	Cholesteryl_Ester	0.2975	0.1362	0.0583	0.1029	0.1227	0.0522	0.0729	0.0927	0.1004	0.5261	0.2842	0.1415	0.1413	0.1637	0.1571	0.1144
CER(14:0)	Cer(d18:1/14:0)	FA14:0	0	Saturated_FA	CER	Sphingolipids	0.0596	0.0618	0.0643	0.0596	0.0608	0.0586	0.0641	0.0536	0.0606	0.0517	0.068	0.063	0.0586	0.0503	0.0574	0.0639
CER(16:0)	Cer(d18:1/16:0)	FA16:0	0	Saturated_FA	CER	Sphingolipids	0.5918	0.8714	0.3708	0.7	0.5653	0.2694	0.4634	0.53	0.9052	3.4406	1.6649	0.8908	0.8654	0.9887	0.7311	0.7365
CER(18:0)	Cer(d18:1/18:0)	FA18:0	0	Saturated_FA	CER	Sphingolipids	0.1155	0.1461	0.0738	0.1318	0.0674	0.0389	0.0624	0.0866	0.1263	0.5294	0.2517	0.1286	0.1121	0.1013	0.0875	0.0822
CER(20:0)	Cer(d18:1/20:0)	FA20:0	0	Saturated_FA	CER	Sphingolipids	0.0534	0.0733	0.0315	0.0562	0.0369	0.0177	0.0315	0.0406	0.0645	0.2264	0.0969	0.0511	0.0437	0.0502	0.0416	0.0454
CER(22:0)	Cer(d18:1/22:0)	FA22:0	0	Saturated_FA	CER	Sphingolipids	0.4051	0.4325	0.1943	0.3742	0.2382	0.1421	0.2022	0.2295	0.355	1.4423	0.6743	0.3121	0.34	0.366	0.2798	0.3266
CER(22:1)	Cer(d18:1/22:1)	FA22:1	1	MUFA	CER	Sphingolipids	0.0382	0.0483	0.0282	0.0439	0.0364	0.0199	0.0291	0.0295	0.0487	0.2003	0.0883	0.0465	0.0383	0.0358	0.0342	0.0381
