"Term ID","Discription","Annotated","Significant","Expected","p-value","FDR q-value"
"LION:0001742","fatty acids and conjugates [FA01]",26,18,5.42,"4.9e-08","7.11e-06"
"LION:0000607","diacylglycerols [GL0201]",24,16,5,"7.1e-07","5.15e-05"
"LION:0012009","lipid-mediated signalling",42,21,8.76,"8.7e-06","4.21e-04"
"LION:0000453","simple glc series [SP0501]",9,8,1.88,"2.1e-05","7.61e-04"
"LION:0000753","TG(50:3)",6,6,1.25,"7.2e-05","2.09e-03"
"LION:0143668","TG(47:1)",5,5,1.04,"0.00036","7.46e-03"
"LION:0143684","TG(51:1)",5,5,1.04,"0.00036","7.46e-03"
"LION:0012017","hexosylceramides",7,6,1.46,"0.00042","7.61e-03"
"LION:0143695","TG(53:2)",4,4,0.83,"0.00180","2.90e-02"
"LION:0080947","d18:1 (sphingosine)",33,14,6.88,"0.00291","4.09e-02"
"LION:0002950","fatty acid with 22-24 carbons",51,19,10.63,"0.00310","4.09e-02"
"LION:0000004","sphingolipids [SP]",29,12,6.05,"0.00766","8.55e-02"
"LION:0143667","TG(47:0)",3,3,0.63,"0.00884","8.55e-02"
"LION:0143683","TG(51:0)",3,3,0.63,"0.00884","8.55e-02"
"LION:0143694","TG(53:1)",3,3,0.63,"0.00884","8.55e-02"
"LION:0002966","fatty acid with less than 2 double bonds",183,48,38.16,"0.01382","1.21e-01"
"LION:0002961","fatty acid with 22 carbons",42,15,8.76,"0.01416","1.21e-01"
"LION:0002924","C18:3",6,4,1.25,"0.01897","1.53e-01"
"LION:0002932","C22:1",4,3,0.83,"0.02996","2.29e-01"
"LION:0002953","fatty acid with 14 carbons",10,5,2.09,"0.03699","2.68e-01"
"LION:0002968","saturated fatty acid",134,35,27.94,"0.04921","3.40e-01"
"LION:0002947","fatty acid with 13-15 carbons",11,5,2.29,"0.05678","3.74e-01"
"LION:0002931","C22:0",5,3,1.04,"0.06360","4.01e-01"
"LION:0000259","C14:0",9,4,1.88,"0.09517","5.52e-01"
"LION:0002963","fatty acid with 24 carbons",9,4,1.88,"0.09517","5.52e-01"
"LION:0002925","C20:0",6,3,1.25,"0.10823","5.78e-01"
"LION:0000254","C12:0",3,2,0.63,"0.11166","5.78e-01"
"LION:0000669","DG(40:6)",3,2,0.63,"0.11166","5.78e-01"
"LION:0002945","fatty acid with more than 18 carbons",111,28,23.15,"0.12106","6.05e-01"
"LION:0000034","monoacylglycerophosphocholines [GP0105]",4,2,0.83,"0.19336","8.99e-01"
"LION:0002938","C24:0",4,2,0.83,"0.19336","8.99e-01"
"LION:0000094","headgroup with neutral charge",278,62,57.97,"0.19831","8.99e-01"
"LION:0012441","N-acylsphingosines (ceramides) [SP0201]",8,3,1.67,"0.22074","9.70e-01"
