pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Biosynthesis of unsaturated fatty acids - Homo sapiens (human),KEGG,4,ELOVL7;ACOT7;HACD4;HACD3,27 (27),0.0398,0.456,13,HMDB02368;HMDB02003;HMDB00220;HMDB05060;HMDB02226;HMDB00944;HMDB01388;HMDB02212;HMDB01043;HMDB00673;HMDB02925;HMDB02068;HMDB01999,32 (55),2.08e-17,8.9e-14,3.53e-17,8.95e-14
phospholipases,HumanCyc,5,PLCG2;PLCD3;PLA2G12A;PLCB4;PLD2,41 (41),0.0471,0.498,9,HMDB02003;HMDB00220;HMDB00944;HMDB01388;HMDB00806;HMDB02212;HMDB01043;HMDB00673;HMDB01999,31 (55),1.25e-10,8.98e-08,1.58e-10,2.01e-07
Alpha Linolenic Acid and Linoleic Acid Metabolism,SMPDB,0,,6 (6),1,1,8,HMDB06547;HMDB02226;HMDB02925;HMDB01388;HMDB01043;HMDB00673;HMDB08048#HMDB08036#HMDB08038;HMDB01999,17 (18),1.57e-11,3.35e-08,4.06e-10,3.42e-07
Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha),Reactome,3,NCOA1;NCOR1;TBL1XR1,20 (20),0.0703,0.613,5,HMDB01388;HMDB00673;HMDB01999;HMDB01043;HMDB00220,5 (5),4.37e-10,1.55e-07,7.74e-10,4.9e-07
sphingomyelin metabolism/ceramide salvage,HumanCyc,1,SMPD3,8 (8),0.329,1,9,HMDB02003;HMDB00220;HMDB00944;HMDB01388;HMDB00806;HMDB02212;HMDB01043;HMDB00673;HMDB01999,31 (55),1.25e-10,8.98e-08,1.03e-09,5.19e-07
triacylglycerol degradation,HumanCyc,1,PNPLA2,15 (15),0.526,1,9,HMDB02003;HMDB00220;HMDB00944;HMDB01388;HMDB00806;HMDB02212;HMDB01043;HMDB00673;HMDB01999,31 (54),1.25e-10,8.98e-08,1.61e-09,6.8e-07
retinol biosynthesis,HumanCyc,1,RDH12,20 (20),0.631,1,8,HMDB00220;HMDB00944;HMDB01388;HMDB00806;HMDB02212;HMDB01043;HMDB00673;HMDB01999,22 (37),1.96e-10,1.06e-07,2.95e-09,9.5e-07
fatty acid activation,HumanCyc,0,,8 (8),1,1,8,HMDB00220;HMDB00944;HMDB01388;HMDB00806;HMDB02212;HMDB01043;HMDB00673;HMDB01999,21 (38),1.26e-10,8.98e-08,3e-09,9.5e-07
BMAL1-CLOCK_NPAS2 activates circadian gene expression,Wikipathways,1,NAMPT,10 (10),0.392,1,5,HMDB00220;HMDB00673;HMDB01043;HMDB01999;HMDB01388,5 (5),4.37e-10,1.55e-07,4.02e-09,1.11e-06
GPCR downstream signalling,Reactome,38,JAK1;ADORA2A;RTP4;GPR132;AKT3;PDE6A;PPP3CC;FGD4;PIK3CA;CXCL10;CXCR4;PIK3CG;GPR65;RPS6KA2;GRK5;GNG2;GPR55;RPS6KA3;ARHGEF12;SDC3;PRKCA;SSTR4;DGKH;PLCB4;PDE1A;ARHGEF11;F2RL1;CXCL3;RDH12;S1PR1;SDC1;IL5RA;SDC4;ARHGEF6;EDNRA;TIAM2;GPC4;ITPR2,1171 (1176),0.998,1,15,HMDB10384;HMDB07100#HMDB07098#HMDB07099#HMDB07161#HMDB07160#HMDB07218;HMDB08048#HMDB08036#HMDB08038;HMDB00220;HMDB02226;HMDB01201;HMDB02925;HMDB01388;HMDB00806;HMDB01043;HMDB00295;HMDB00673;HMDB01397;HMDB00658#HMDB10370;HMDB01999,146 (209),1.99e-10,1.06e-07,4.63e-09,1.11e-06
