pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Cell Cycle,Reactome,135,KNTC1;NUP50;BRIP1;RNF168;CENPN;INCENP;CENPE;CENPF;PDS5B;SMC1A;SPC25;CKAP5;CDC23;BARD1;NUDC;OIP5;MCM3;MCM5;MCM6;NUF2;HMMR;MCM10;BUB1;RUVBL2;NCAPG2;BANF1;RCC2;CKS1B;SPDL1;NUP205;BLM;AURKA;DSN1;HIST1H2AK;POLE;NUP133;HIST1H2AC;HIST1H2AB;HIST1H2BG;NCAPG;HIST1H2BH;HIST1H3C;HIST1H3I;NDC80;HIST1H4D;HIST1H4F;ANAPC1;NUP37;CDC16;NUP210;MAD1L1;BUB1B;NCAPD2;NUP62;CDT1;PLK1;RHNO1;KIF2C;HSP90AB1;FOXM1;HIST1H3F;NUP188;FZR1;NCAPD3;ZWILCH;RANGAP1;SET;CENPT;NUP107;RBBP4;WEE1;RBL1;POLA1;POLD1;ANAPC15;UBE2C;CDC20;NUP88;TOPBP1;SMC4;BIRC5;E2F1;NSL1;E2F4;NUP214;NEK2;ODF2;SMC2;RFC5;NHP2;NCAPH;CDCA8;CCNA2;CCNB1;PPP1CC;KIF20A;SPC24;LIG1;HIST1H2BF;HDAC1;PPP2R5D;NDC1;BABAM1;CCNB2;CDC7;TPX2;MASTL;MCM2;EXO1;H2AFX;H2AFZ;TMPO;HIST1H2BB;CDK5RAP2;CEP152;CDK1;ZW10;BUB3;CDC25A;CDC25C;ESPL1;RPA1;SKA1;PCNT;CDCA5;PMF1;PLK4;STAG3;TOP2A;MAD2L1;CDK2;BORA;CDK4;AURKB;CDK6,563 (564),4.53e-74,2.08e-70,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,31 (33),5.62e-05,0.00233,4.57e-76,1.16e-72
Cell Cycle_ Mitotic,Reactome,123,KNTC1;NUP50;CENPN;INCENP;CENPE;CENPF;PDS5B;SMC1A;SPC25;CKAP5;CDC23;NUDC;MCM2;MCM3;MCM5;MCM6;NUF2;HMMR;MCM10;BUB1;NCAPG2;BANF1;RCC2;SPDL1;NUP205;AURKA;DSN1;HIST1H2AK;CKS1B;NUP133;HIST1H2AC;NEK2;HIST1H2BG;NCAPG;HIST1H2BH;HIST1H3C;HIST1H3I;NDC80;HIST1H4D;HIST1H4F;ANAPC1;NUP37;CDC16;NUP210;MAD1L1;BUB1B;NCAPD2;NUP62;CDT1;PLK1;CDC7;KIF2C;HSP90AB1;FOXM1;HIST1H3F;NUP188;NCAPD3;ZWILCH;RANGAP1;SET;CENPT;NUP107;RBBP4;WEE1;RBL1;POLA1;POLD1;POLE;UBE2C;CDC20;NUP88;SMC4;BIRC5;E2F1;NSL1;ANAPC15;E2F4;CDK2;NUP214;FZR1;ODF2;SMC2;RFC5;NCAPH;CDCA8;CCNA2;CCNB1;PPP1CC;KIF20A;SPC24;LIG1;HIST1H2BF;PPP2R5D;NDC1;CCNB2;TPX2;MASTL;H2AFX;H2AFZ;TMPO;HIST1H2BB;CDK5RAP2;HIST1H2AB;CEP152;CDK1;ZW10;BUB3;CDC25A;CDC25C;ESPL1;RPA1;SKA1;AURKB;CDCA5;PMF1;PLK4;TOP2A;MAD2L1;HDAC1;BORA;CDK4;PCNT;CDK6,480 (481),1.12e-70,2.57e-67,4,HMDB00095;HMDB00285;HMDB00538;HMDB00082,30 (30),4.92e-05,0.00212,9.48e-73,1.2e-69
M Phase,Reactome,89,PDS5B;NUP50;CENPN;INCENP;CENPE;CENPF;KNTC1;SMC1A;SPC25;CKAP5;CDC23;NUDC;NUF2;MAD1L1;NCAPG2;BANF1;RCC2;SPDL1;NUP205;DSN1;HIST1H2AK;MASTL;HIST1H2AC;HIST1H2AB;HIST1H2BG;HIST1H2BF;HIST1H2BH;HIST1H3C;HIST1H3I;NDC80;HIST1H4D;HIST1H4F;ANAPC1;NUP37;CDC16;NUP210;BUB1;BUB1B;NCAPD2;PLK1;KIF2C;HIST1H3F;CDK1;NCAPD3;ZWILCH;RANGAP1;SET;CENPT;NUP107;ANAPC15;UBE2C;ZW10;NUP88;SMC4;BIRC5;NSL1;NUP214;NEK2;ODF2;SMC2;NCAPH;CDCA8;CCNB1;PPP1CC;KIF20A;SPC24;NCAPG;PPP2R5D;NDC1;CCNB2;NUP133;H2AFX;H2AFZ;TMPO;HIST1H2BB;CDK5RAP2;CEP152;NUP188;CDC20;BUB3;ESPL1;SKA1;PCNT;CDCA5;PMF1;PLK4;MAD2L1;NUP62;AURKB,339 (340),2.36e-51,3.61e-48,1,HMDB00538,18 (18),0.125,0.306,3.53e-50,2.97e-47
Cell Cycle Checkpoints,Reactome,73,SPC24;BUB1B;BUB1;KNTC1;CCNB1;ZWILCH;INCENP;HIST1H2BG;BRIP1;HIST1H2BF;PPP2R5D;EXO1;RHNO1;BABAM1;CENPN;NUP107;NDC80;CENPE;CENPF;HIST1H4D;HIST1H4F;ANAPC1;CCNB2;NUP37;CDC16;ANAPC15;RNF168;BLM;UBE2C;MAD1L1;RANGAP1;SPC25;CKAP5;NUP133;CDC23;BARD1;H2AFX;RFC5;MCM3;HIST1H2BB;MCM2;BIRC5;CDC20;MCM5;MCM6;NSL1;PLK1;NUF2;CDK1;SKA1;MCM10;ZW10;BUB3;CDC25A;CDC25C;RPA1;NUDC;CDCA8;KIF2C;PMF1;DSN1;CENPT;CDC7;RCC2;MAD2L1;WEE1;HIST1H2BH;CDK2;CCNA2;SPDL1;AURKB;PPP1CC;TOPBP1,249 (250),1.18e-45,1.36e-42,1,HMDB00538,3 (3),0.0219,0.134,2.81e-45,1.78e-42
Mitotic Prometaphase,Reactome,54,SPC24;NDC80;BUB1;PDS5B;CCNB1;ZWILCH;PPP2R5D;NCAPG;CENPT;CENPN;NUP107;INCENP;CENPE;CENPF;KNTC1;CCNB2;NUP37;SMC1A;MAD1L1;RANGAP1;SPC25;NCAPD2;CKAP5;NUP133;SMC4;ZW10;CDK5RAP2;BIRC5;NSL1;CEP152;NUF2;CDK1;SKA1;NEK2;ODF2;CDC20;BUB3;SMC2;PLK1;NCAPH;NUDC;CDCA8;KIF2C;CDCA5;PMF1;DSN1;PLK4;BUB1B;RCC2;MAD2L1;SPDL1;AURKB;PPP1CC;PCNT,186 (186),1.46e-33,1.06e-30,1,HMDB00538,6 (6),0.0434,0.161,5.06e-33,2.56e-30
Resolution of Sister Chromatid Cohesion,Reactome,43,SPC24;BUB1;KNTC1;CCNB1;ZWILCH;PPP2R5D;CENPT;CENPN;NUP107;INCENP;CENPE;CENPF;PDS5B;CCNB2;NUP37;SMC1A;MAD1L1;RANGAP1;SPC25;CKAP5;NUP133;CDC20;BIRC5;NSL1;NDC80;NUF2;CDK1;ZW10;BUB3;PLK1;SKA1;NUDC;CDCA8;KIF2C;CDCA5;PMF1;DSN1;BUB1B;RCC2;MAD2L1;SPDL1;AURKB;PPP1CC,109 (109),2.9e-33,1.66e-30,1,HMDB00538,6 (6),0.0434,0.161,9.96e-33,4.2e-30
Mitotic Anaphase,Reactome,48,SPC24;BUB1;PDS5B;ZWILCH;PPP2R5D;CENPT;CENPN;NUP107;INCENP;CENPE;CENPF;ANAPC1;KNTC1;NUP37;CDC16;ANAPC15;SMC1A;UBE2C;MAD1L1;RANGAP1;SPC25;CKAP5;NUP133;CDC20;TMPO;BIRC5;NSL1;NDC80;NUF2;BUB1B;ZW10;BUB3;PLK1;ESPL1;SKA1;NUDC;CDCA8;KIF2C;CDCA5;PMF1;DSN1;BANF1;RCC2;MAD2L1;CDC23;SPDL1;AURKB;PPP1CC,140 (140),1.11e-33,1.01e-30,0,,4 (4),1,1,8.5e-32,3.07e-29
Mitotic Metaphase and Anaphase,Reactome,48,SPC24;BUB1;PDS5B;ZWILCH;PPP2R5D;CENPT;CENPN;NUP107;INCENP;CENPE;CENPF;ANAPC1;KNTC1;NUP37;CDC16;ANAPC15;SMC1A;UBE2C;MAD1L1;RANGAP1;SPC25;CKAP5;NUP133;CDC20;TMPO;BIRC5;NSL1;NDC80;NUF2;BUB1B;ZW10;BUB3;PLK1;ESPL1;SKA1;NUDC;CDCA8;KIF2C;CDCA5;PMF1;DSN1;BANF1;RCC2;MAD2L1;CDC23;SPDL1;AURKB;PPP1CC,141 (141),1.62e-33,1.06e-30,0,,4 (4),1,1,1.24e-31,3.92e-29
Separation of Sister Chromatids,Reactome,46,SPC24;BUB1;PDS5B;ZWILCH;PPP2R5D;CENPT;CENPN;NUP107;INCENP;CENPE;CENPF;ANAPC1;KNTC1;NUP37;CDC16;ANAPC15;SMC1A;UBE2C;MAD1L1;RANGAP1;SPC25;CKAP5;NUP133;CDC20;BIRC5;NSL1;NDC80;NUF2;ZW10;BUB3;PLK1;ESPL1;SKA1;NUDC;CDCA8;KIF2C;CDCA5;PMF1;DSN1;BUB1B;RCC2;MAD2L1;CDC23;SPDL1;AURKB;PPP1CC,129 (129),3.4e-33,1.73e-30,0,,2 (2),1,1,2.58e-31,7.24e-29
Mitotic Spindle Checkpoint,Reactome,42,SPC24;BUB1;KNTC1;ZWILCH;PPP2R5D;CENPT;CENPN;NUP107;NDC80;CENPE;CENPF;ANAPC1;NUP37;CDC16;ANAPC15;UBE2C;MAD1L1;RANGAP1;SPC25;CKAP5;NUP133;CDC20;BIRC5;NSL1;INCENP;NUF2;ZW10;BUB3;PLK1;SKA1;NUDC;CDCA8;KIF2C;PMF1;DSN1;BUB1B;RCC2;MAD2L1;CDC23;SPDL1;AURKB;PPP1CC,113 (113),3.03e-31,1.39e-28,0,,0 (0),1,1,3.03e-31,1.39e-28
