Lipid_ID	Lipid_Name	Lipid_Name_Tot	Lipid_Name_LION	Lipid_Class	FA_1	FA_2	Sat_status_FA1	Sat_status_FA2	FA_status_FA1	FA_status_FA2	Unsat_position_FA1	Unsat_position_FA2	HMDB_ID	KEGG_ID	LION_ID	cellular_component	Function	Total_Carb	Total_Unsat	Carbon_numb_FA1	Carbon_numb_FA2	Unsat_numb_FA1	Unsat_numb_FA2	PhysicoChemical	PathwaysKegg
CE.12.0.	CE(12:0)	CE(12:0)	CE(12:0)	CE	(12:0)		SFA		Even				HMDB02262					12	0	12	NA	0	NA	"sterol lipids [ST];sterols [ST01];steryl esters [ST0102];headgroup with neutral charge;fatty acid with less than 2 double bonds;saturated fatty acid;fatty acid with 18 carbons or less;fatty acid with less than 13 carbons;fatty acid with 12 carbons"	"Steroid biosynthesis;Ovarian steroidogenesis;Fat digestion and absorption;Bile secretion;Vitamin digestion and absorption;Cholesterol metabolism"
CE.14.0.	CE(14:0)	CE(14:0)	CE(14:0)	CE	(14:0)		SFA		Even				HMDB06725		LION:0000000	"lipid droplet;endosome/lysosome"	lipid storage	14	0	14	NA	0	NA	"sterol lipids [ST];sterols [ST01];steryl esters [ST0102];headgroup with neutral charge;fatty acid with less than 2 double bonds;saturated fatty acid;fatty acid with 18 carbons or less;fatty acid with 13-15 carbons;fatty acid with 14 carbons"	NA
CE.14.1.	CE(14:1)	CE(14:1)	CE(14:1)	CE	(14:1)		MUFA		Even				HMDB10367		LION:0000091	"lipid droplet;endosome/lysosome"	lipid storage	14	1	14	NA	1	NA	"sterol lipids [ST];sterols [ST01];steryl esters [ST0102];headgroup with neutral charge;fatty acid with less than 2 double bonds;monounsaturated fatty acid;fatty acid with 18 carbons or less;fatty acid with 13-15 carbons;fatty acid with 14 carbons"	NA
CE.15.0.	CE(15:0)	CE(15:0)	CE(15:0)	CE	(15:0)		SFA		Odd				HMDB60057					15	0	15	NA	0	NA	"sterol lipids [ST];sterols [ST01];steryl esters [ST0102];headgroup with neutral charge;fatty acid with less than 2 double bonds;saturated fatty acid;fatty acid with 18 carbons or less;fatty acid with 13-15 carbons;fatty acid with 15 carbons"	NA
CE.16.0.	CE(16:0)	CE(16:0)	CE(16:0)	CE	(16:0)		SFA		Even				HMDB00885	C11251 	LION:0000092	"lipid droplet;endosome/lysosome"	lipid storage	16	0	16	NA	0	NA	"sterol lipids [ST];sterols [ST01];steryl esters [ST0102];headgroup with neutral charge;fatty acid with less than 2 double bonds;saturated fatty acid;fatty acid with 18 carbons or less;fatty acid with 16-18 carbons;fatty acid with 16 carbons"	
CE.16.1.	CE(16:1)	CE(16:1)	CE(16:1)	CE	(16:1)		MUFA		Even				HMDB00658		LION:0000096	"lipid droplet;endosome/lysosome"	lipid storage	16	1	16	NA	1	NA	"sterol lipids [ST];sterols [ST01];steryl esters [ST0102];headgroup with neutral charge;fatty acid with less than 2 double bonds;monounsaturated fatty acid;fatty acid with 18 carbons or less;fatty acid with 16-18 carbons;fatty acid with 16 carbons"	"Steroid biosynthesis;Ovarian steroidogenesis;Fat digestion and absorption;Bile secretion;Vitamin digestion and absorption;Cholesterol metabolism"
CE.17.0.	CE(17:0)	CE(17:0)	CE(17:0)	CE	(17:0)		SFA		Odd				HMDB60059					17	0	17	NA	0	NA	"sterol lipids [ST];sterols [ST01];steryl esters [ST0102];headgroup with neutral charge;fatty acid with less than 2 double bonds;saturated fatty acid;fatty acid with 18 carbons or less;fatty acid with 16-18 carbons;fatty acid with 17 carbons"	NA
CE.18.0.	CE(18:0)	CE(18:0)	CE(18:0)	CE	(18:0)		SFA		Even				HMDB10368		LION:0000117	"lipid droplet;endosome/lysosome"	lipid storage	18	0	18	NA	0	NA	"sterol lipids [ST];sterols [ST01];steryl esters [ST0102];headgroup with neutral charge;fatty acid with less than 2 double bonds;saturated fatty acid;fatty acid with 18 carbons or less;fatty acid with 16-18 carbons;fatty acid with 18 carbons"	"Steroid biosynthesis;Ovarian steroidogenesis;Fat digestion and absorption;Bile secretion;Vitamin digestion and absorption;Cholesterol metabolism"
CE.18.1.	CE(18:1)	CE(18:1)	CE(18:1)	CE	(18:1)		MUFA		Even				HMDB00918		LION:0000463	"lipid droplet;endosome/lysosome"	lipid storage	18	1	18	NA	1	NA	"sterol lipids [ST];sterols [ST01];steryl esters [ST0102];headgroup with neutral charge;fatty acid with less than 2 double bonds;monounsaturated fatty acid;fatty acid with 18 carbons or less;fatty acid with 16-18 carbons;fatty acid with 18 carbons"	
CE.18.2.	CE(18:2)	CE(18:2)	CE(18:2)	CE	(18:2)		PUFA		Even		omega_6		HMDB00610	C15441	LION:0001256	"lipid droplet;endosome/lysosome"	lipid storage	18	2	18	NA	2	NA	"sterol lipids [ST];sterols [ST01];steryl esters [ST0102];headgroup with neutral charge;polyunsaturated fatty acid;fatty acid with 2 double bonds;fatty acid with 18 carbons or less;fatty acid with 16-18 carbons;fatty acid with 18 carbons"	
