SampleID,Condition,Replicate,bamReads,bamControl,Peaks,PeakCaller
4m_F_101,YF,1,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/BOWTIE2_mapped/Downsampled/Neutrophil_ATACseq_4m_F_101_MergedLanes.rmdup_DS_45716676.bam,,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/HINT_ATAC/Neutrophil_ATACseq_4m_F_MERGED_homer_peaks.QC_noMT.bed,bed
4m_F_102,YF,2,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/BOWTIE2_mapped/Downsampled/Neutrophil_ATACseq_4m_F_102_MergedLanes.rmdup_DS_45716676.bam,,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/HINT_ATAC/Neutrophil_ATACseq_4m_F_MERGED_homer_peaks.QC_noMT.bed,bed
4m_F_103,YF,3,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/BOWTIE2_mapped/Downsampled/Neutrophil_ATACseq_4m_F_103_MergedLanes.rmdup_DS_45716676.bam,,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/HINT_ATAC/Neutrophil_ATACseq_4m_F_MERGED_homer_peaks.QC_noMT.bed,bed
4m_F_104,YF,4,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/BOWTIE2_mapped/Downsampled/Neutrophil_ATACseq_4m_F_104_MergedLanes.rmdup_DS_45716676.bam,,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/HINT_ATAC/Neutrophil_ATACseq_4m_F_MERGED_homer_peaks.QC_noMT.bed,bed
4m_F_105,YF,5,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/BOWTIE2_mapped/Downsampled/Neutrophil_ATACseq_4m_F_105_MergedLanes.rmdup_DS_45716676.bam,,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/HINT_ATAC/Neutrophil_ATACseq_4m_F_MERGED_homer_peaks.QC_noMT.bed,bed
4m_M_111,YM,1,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/BOWTIE2_mapped/Downsampled/Neutrophil_ATACseq_4m_M_111_MergedLanes.rmdup_DS_45716676.bam,,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/HINT_ATAC/Neutrophil_ATACseq_4m_M_MERGED_homer_peaks.QC_noMT.bed,bed
4m_M_112,YM,2,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/BOWTIE2_mapped/Downsampled/Neutrophil_ATACseq_4m_M_112_MergedLanes.rmdup_DS_45716676.bam,,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/HINT_ATAC/Neutrophil_ATACseq_4m_M_MERGED_homer_peaks.QC_noMT.bed,bed
4m_M_113,YM,3,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/BOWTIE2_mapped/Downsampled/Neutrophil_ATACseq_4m_M_113_MergedLanes.rmdup_DS_45716676.bam,,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/HINT_ATAC/Neutrophil_ATACseq_4m_M_MERGED_homer_peaks.QC_noMT.bed,bed
4m_M_114,YM,4,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/BOWTIE2_mapped/Downsampled/Neutrophil_ATACseq_4m_M_114_MergedLanes.rmdup_DS_45716676.bam,,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/HINT_ATAC/Neutrophil_ATACseq_4m_M_MERGED_homer_peaks.QC_noMT.bed,bed
4m_M_115,YM,5,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/BOWTIE2_mapped/Downsampled/Neutrophil_ATACseq_4m_M_115_MergedLanes.rmdup_DS_45716676.bam,,/Volumes/BB_Home/Neutrophils/Neutrophil_analysis/ATAC-seq_analysis/HINT_ATAC/Neutrophil_ATACseq_4m_M_MERGED_homer_peaks.QC_noMT.bed,bed
