PeakID (cmd=annotatePeaks.pl tss mm10 -list 2020-04-06_Neutrophil_Expressed_Genes_from_STAR.txt -size -500,150 -CpG)	Chr	Start	End	Strand	Not Used	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	CpG%	GC%
NM_025821	chr16	8672003	8672653	-	0	NA	promoter-TSS (NM_025821)	promoter-TSS (NM_025821)	0	NM_025821	52502	Mm.142095	NM_025821	ENSMUSG00000008393	Carhsp1	1200011K09Rik|Crhsp-24|D16Ertd465e	calcium regulated heat stable protein 1	protein-coding	0.075385	0.614439
NM_145227	chr5	120749698	120750348	-	0	NA	promoter-TSS (NM_145227)	promoter-TSS (NM_145227)	0	NM_145227	246728	Mm.260926	NM_145227	ENSMUSG00000032690	Oas2	Oasl11	2'-5' oligoadenylate synthetase 2	protein-coding	0.010769	0.511521
NM_152817	chr17	74717250	74717900	+	0	NA	promoter-TSS (NM_152817)	promoter-TSS (NM_152817)	0	NM_152817	74196	Mm.209503	NM_152817	ENSMUSG00000024078	Ttc27	2610511O17Rik	tetratricopeptide repeat domain 27	protein-coding	0.041538	0.508449
NM_027230	chr2	165884688	165885338	-	0	NA	promoter-TSS (NM_001252587)	promoter-TSS (NM_001252587)	0	NM_027230	228880	Mm.227598	NM_027230	ENSMUSG00000039671	Zmynd8	1110013E22Rik|2010005I16Rik|3632413B07Rik|AI316811|AL024039|Prkcbp1|RACK7	zinc finger, MYND-type containing 8	protein-coding	0.040000	0.611367
NM_025288	chr16	36455242	36455892	-	0	NA	promoter-TSS (NM_025288)	promoter-TSS (NM_025288)	0	NM_025288	20863	Mm.136573	NM_025288	ENSMUSG00000054905	Stfa3	Stf3	stefin A3	protein-coding	0.006154	0.450077
NM_023129	chr10	53337186	53337836	+	0	NA	promoter-TSS (NM_001141927)	promoter-TSS (NM_001141927)	0	NM_023129	18821	Mm.34145	NM_023129	ENSMUSG00000038583	Pln	Plb	phospholamban	protein-coding	0.009231	0.407066
NR_029656	chr13	48535964	48536614	-	0	NA	promoter-TSS (NR_029656)	promoter-TSS (NR_029656)	0	NR_029656	387247		NR_029656	ENSMUSG00000065453	Mirlet7d	Mirnlet7d|let-7d|mmu-let-7d	microRNA let7d	ncRNA	0.007692	0.348694
NR_028281	chr15	80082756	80083406	-	0	NA	promoter-TSS (NR_028281)	promoter-TSS (NR_028281)	0	NR_028281	100302600		NR_028281		Snord43	MBII-47	small nucleolar RNA, C/D box 43	snoRNA	0.041538	0.517665
NM_152800	chr2	32756734	32757384	+	0	NA	promoter-TSS (NR_045485)	promoter-TSS (NR_045485)	0	NM_152800	30933	Mm.200695	NM_152800	ENSMUSG00000009563	Tor2a	Prosalusin	torsin family 2, member A	protein-coding	0.050769	0.559140
NM_011753	chr9	20460010	20460660	-	0	NA	promoter-TSS (NM_001357809)	promoter-TSS (NM_001357809)	0	NM_011753	22688	Mm.107441	NM_011753	ENSMUSG00000063108	Zfp26	5033428C05Rik|KRAB15|Zfp-26|Zfp70|Zfp81-rs1|mKIAA4196|mkr-3|mszf14|mszf52	zinc finger protein 26	protein-coding	0.026154	0.440860
